spam,text
1,want to funk up ur fone with a week new tone repli   this text  the origin n best tone  network oper rate appli
0,then cant get da laptop my matric card wif  lei 
0,lol yes but it will add some spice to your day
0,lol i know theyr so dramat school alreadi close for tomorrow appar we cant drive in the inch of snow were suppos to get
0,now im go out  dinner soon
0,im at home n readi
0,wat make some peopl dearer is not just de happi dat u feel when u meet them but de pain u feel when u miss dem
0,no idea i guess well work that out an hour after were suppos to leav sinc as usual nobodi has ani interest in figur shit out befor the last second
0,lol that differ i dont go tri to find everi real life photo you ever took
0,new theori argument win d situat but lose the person so dont argu with ur friend just    kick them amp say im alway correct
0,sorri man my stash ran dri last night and i cant pick up more until sunday
0,im in a movi collect car oredi
0,im gonna miss u so much
0,how abt make some of the pic bigger
1,this is the  attempt to contract u you have won this week top prize of either  cash or  prize just call 
0,hmm dunno leh mayb a bag  goigng out dat is not too small or jus anyth except perfum smth dat i can keep
0,do u konw waht is rael friendship im gving yuo an exmpel jsut ese tih msg evrey splle of tih msg is wrnog bt sitll yuo can ra it wihtuot ayn mitsak goodnight amp have a nice sleepsweet dream
0,a lot of this sick thing go round take it easi hope u feel better soon lol
0,man this bus is so so so slow i think your gonna get there befor me
0,i could ask carlo if we could get more if anybodi els can chip in
0,what you doinghow are you
0,youd like that wouldnt you jerk
1,you have  new voicemail pleas call 
0,haha yup hope  we will lose a few kg by mon after hip hop can go orchard and weigh again
0,ill call you even ill some idea
0,whi she want to talk to me
0,mayb if you woke up befor fuck  this wouldnt be a problem
0,from here after the perform award is calcul everi two monthnot for current one month period
1,jamster to get your free wallpap text heart to  now tc appli  onli need help call 
0,he remain a bro amongst bros
0,madamregret disturbancemight receiv a refer check from dlf premaricakind be informedrgdsrakheshkerala
1,hi this is mandi sullivan call from hotmix fmyou are chosen to receiv  in our easter prize drawpleas telephon  to claim befor  or your prize will be transfer to someon els
0,yes i have so that whi u text pshewmiss you so much
0,i will see in half an hour
0,im glad you are follow your dream
0,i want to tel u one thing u should not mistak me k this is the messag that you sent
0,sound like there could be a lot of time spent in that chastiti devic boy  grin  or take your beat like a good dog go to loung in a nice long bath now 
0,heart is empti without love mind is empti without wisdom eye r empti without dream amp life is empti without frnds so alwi be in touch good night amp sweet dream
0,daddi will take good care of you 
0,i want to lick your pussi now
0,was it someth u ate
0,thanx  e browni it v nice
0,also sir i sent you an email about how to log into the usc payment portal ill send you anoth messag that should explain how thing are back home have a great weekend
1, from  lost  help
0,hmph go head big baller
1,babe u want me dont u babi im nasti and have a thing  filthyguy fanci a rude time with a sexi bitch how about we go slo n hard txt xxx 
1,today vodafon number end with  last four digit are select to receiv a  award if your number match pleas call  to claim your  award
0,you have regist sinco as paye log in at icicibankcom and enter urn  ltgt  to confirm bewar of fraud do not share or disclos urn to anyon
0,have a nice day my dear
0, was a nice day and impress i was sensibl went home earli and now feel fine or am i just bore when your i cant rememb
0, min to go for lunch
0,no break time one how i come out n get my stuff fr 
0,guess which pub im in im as happi as a pig in clover or whatev the say is 
0,aww that the first time u said u miss me without ask if i miss u first you do love me 
0,no youll just get a headach tri to figur it out u can trust me to do the math i promis o
0,japanes proverb if one can do it u too can do it if none can do itu must do it indian version if one can do it let him do it if none can do itleav it and final kerala version if one can do it stop him do it if none can do it make a strike against it 
0,where are youwhen wil you reach here
0,is that serious how you spell his name
1,cashbincouk get lot of cash this weekend  dear welcom to the weekend we have got our biggest and best ever cash give away these
1,bore housew chat n date now  btnation rate  onli from landlin
0,wat time u finish ur lect today
0,it  ltgt k here oh should i send home for sale
0,i realli need  kiss u i miss u my babi from ur babi 
0, wonder in my world  you  ur style  ur smile  ur person  ur natur  ur sms and  ur love friendship good morn dear
0,i have a sore throat it scratch when i talk
0,hello no news on job they are make me wait a fifth week yeah im up for some woozl and weasel in exet still but be home about  
0,ok
0,i love to give massag i use lot of babi oil what is your fave posit
1,this is the  time we have tri  contact u u have won the  pound prize  claim is easi call   onli  per minut btnationalr
0,have a good even ttyl
0,are you sure you dont mean get here we made you hold all the weed
0,delhi and chennai still silent
0,where r we meet
0,and stop wonder wow is she ever go to stop tming me  becaus i will tm you whenev i want becaus you are mine  laugh
0,can a not
0,dear sirsalam alaikkumprid and pleasur meet you today at the tea shopw are pleas to send you our contact number at qatarrakhesh an indianpl save our numberrespect regard
0,sorri ill call later
1,you can donat  to unicef asian tsunami disast support fund by text donat to   will be ad to your next bill
0,haha awesom ive been to  a coupl time who all come
0,that a shame mayb cld meet for few hrs tomo
0,it not the same here still look for a job how much do tas earn there
0,motiv behind everi dark there is a shine light wait for you to find it behind everi best friend there is alway trust and love bslvyl
1,free entri in  a wkli comp to win fa cup final tkts  may  text fa to  to receiv entri questionstd txt ratetc appli 
0,i accident brought em home in the box
0,sit ard noth to do lor u leh busi w work
0,my darl sister how are you do when school resum is there a minimum wait period befor you reappli do take care
0,hi darlin ive just got back and i had a realli nice night and thank so much for the lift see u tomorrow xxx
0,good afternon my love how are today i hope your good and mayb have some interview i wake and miss you babe a passion kiss from across the sea
0,whi i come in between you peopl
0,ugh gotta drive back to sd from la my butt is sore
0,noth just get msgs by dis name wit differ nos
0,i wont so wat wit the guy
0, are you in the pub
0,cool ill text you when im on the way
0,there is a first time for everyth 
1,i want some cock my hubbi away i need a real man  satisfi me txt wife to  for no string action txt stop  end txt rec  otbox    
0,s now onli i took tablet  reaction morn onli
0,what nanni address
0,love you aathilov u lot
0,love it the girl at the offic may wonder whi you are smile but sore
0,friendship is not a game to play it is not a word to say it doesnt start on march and end on may it is tomorrow yesterday today and e
0,u need my presnt alway bcz u cant mis love jeevithathil irulina neekunna prakasamanu sneham prakasam ennal prabha that mns prabha islov got it dont mis me
0,no i am not have not ani movi in my laptop
0,just sent again do you scream and moan in bed princess
0,i can send you a pic if you like 
0,can you pls pls send me a mail on all you know about relat come to deliv here all you know about cost risk benefit and anyth els thank
0,same here but i consid wall and bunker and shit import just becaus i never play on peac but i guess your place is high enough that it dont matter
0,i am liter in bed and have been up for like  ltgt  hour
0,k k sms chat with me
0,pick you up bout  what time are  and that go
0,watch tv lor
1,we have new local date in your area  lot of new peopl regist in your area repli date to start now  onli  
0,yeah you should i think you can use your gt atm now to regist not sure but if there anyway i can help let me know but when you do be sure you are readi
0,aft i finish my lunch then i go str down lor ard  smth lor u finish ur lunch alreadi
0,awesom think we can get an  at usf some time tonight
0,im home doc gave me pain med say everyth is fine
0,onc free call me sir
0,i can make lasagna for you vodka
0,got smaller capac one quit ex
0,wat da model num of ur phone
0,anyth lor is she come
1,how come it take so littl time for a child who is afraid of the dark to becom a teenag who want to stay out all night
0,that the troubl with class that go well  your due a dodgey one  expect mine tomo see you for recoveri same time same place 
0,merri christma to u too anni
1,had your mobil  month or more u r entitl to updat to the latest colour mobil with camera for free call the mobil updat co free on 
0,i am on the way to tirupur
0,horribl bf i now v hungri
0, eatin later but im eatin wif my fren now lei  go home first 
0,i dont want you to leav but im bare do what i can to stay sane fight with you constant isnt help
0,he need to stop go to bed and make with the fuck deal
0,call him and say you not come today ok and tell them not to fool me like this ok
0,apo all other are mokka player onli
0,nah man my car is meant to be cram full of peopl
0,camera quit good  pixel  and  doom have a love holiday be safe and i hope you hav a good journey happi new year to you both see you in a coupl of week 
0,and my man carlo is definit come by mu tonight no excus
0,no im not i cant give you everyth you want and need you actual could do better for yourself on yor ownyouv got more money than i do i cant get work i cant get a man i cant pay the rent i cant even fill my fuck gas tank yes im stress and depress i didnt even call home for thanksgiv cuz ill have to tell them im up to noth
1,can u get  phone now i wanna chat  set up meet call me now on  u can cum here  luv jane xx call
0, taco   raja burrito right
1,u were outbid by  on the shinco dvd plyr  bid again visit sms acsmsreward  end bid notif repli end out
0,jay want to work out first how  sound
0,shhhhh nobodi is suppos to know
0,are you go to write ccna exam this week
0,by the way ive put a skip right outsid the front of the hous so you can see which hous it is just pull up befor it
0,sir wait for your letter
0,it a valentin game   send dis msg to all ur friend  if  answer r d same then someon realli love u que which colour suit me the bestrpli me
0,there general isnt one it an uncount noun  u in the dictionari piec of research
0,kthen come wenev u lik to come and also tel vikki to come by get free time
0,wait  ltgt  min
0,not cours onli math one day one chapter with in one month we can finish
0,i like your new hous
0,mode men or have you left
0,kkwhere are youhow did you perform
0,great escap i fanci the bridg but need her lager see you tomo 
0,gran onlyfound out afew day agocusoon honi
0,so li hai me bore now da lectur repeat last week stuff wast time 
0,ah poor babyhop urfeel bettersn luv probthat overdos of work hey go care spk  u sn lot of lovejen xxx
0,i will onc i get home
0,u call me right call my hand phone
0,think of u  x
0,that caus your old i live to be high
0, oclock at mine just to bash out a flat plan
0,ask g or iouri ive told the stori like ten time alreadi
0,how about cloth jewelri and trip
0,congrat  treat pendingi am not on mail for  dayswil mail onc thrurespect mother at homecheck mail
0,yes we are chat too
0,hey congrat  id luv  but ive had  go home
1,eeri nokia tone  rpli tone titl to  eg tone dracula to  titl ghost addamsfa munster exorcist twilight   
0,fyi im gonna call you sporad start at like  ltgt  bc we are not not doin this shit
1,freemsgfav xmas tonesrepli real
0,ok i msg u  i leav my hous
1,loan for ani purpos    homeown  tenant welcom have you been previous refus we can still help call free   or text back help
0,ill text you when i drop x off
0,genius what up how your brother pls send his number to my skype
0,nimbomson yep phone know that one obvious cos that a real word
0,cab is availablethey pick up and drop at door step
0,sorri i cant text amp drive coher see you in twenti
1,upgrdcentr orang custom you may now claim your free camera phone upgrad for your loyalti call now on    offer end  juli tcs appli optout avail
0,shes good she was wonder if you wont say hi but shes smile now so how are you cope with the long distanc
0,no callsmessagesmiss call
0,me also da i feel yesterday night  wait til  night dear
0,what i told befor i tell stupid hear after i wont tell anyth to you you dad call to my brother and spoken not with me
0,tell me pa how is pain de
0,pete can you pleas ring meiv hard gotani credit
0,hey darlin i can pick u up at colleg if u tell me wen  where  mt love pete xx
0,sorri datoday i wont come to playi have drive clas
0,i can but it will tell quit long cos i havent finish my film yet
0,that cool hell be here all night lemm know when your around
1,free entri to the  wkli comp  a chanc to win the latest nokia  psp or  cash everi wktxt great to  http 
0,i take it the post has come then you must have  of text now happi read my one from wiv hello carolin at the end is my favourit bless him
1,urgent your mobil no was award  bonus caller prize on  this is our final tri to contact u call from landlin   
0,what i mean is do they come chase you out when it over or is it state you can watch as mani movi as you want
0,in e msg jus now u said thank for gift
1,hey boy want hot xxx pic sent direct  ur phone txt porn to   free and then just  per day to stop text stopbcm sf 
0,don no dawhat you plan
0,i got your back do you have ani dislik in bed
0,haha just kid papa need drug
0,then u go back urself lor
0,amaz  if you rearrang these letter it give the same mean dormitori  dirti room astronom  moon starer the eye  they see elect result  lie let recount motherinlaw  woman hitler eleven plus two twelv plus one it amaz 
1,ur award a citi break and could win a  summer shop spree everi wk txt store to 
0,no prob i will send to your email
0,err cud do im go to  at  i havent got a way to contact him until then
0,have your lunch and come quick and open the door
0,aiyah then i wait lor then u entertain me hee
0,excel are you readi to moan and scream in ecstasi
0,shop eh ger i toke abt syd lehhaha
0,let me know how it chang in the next  it can even be appendix but you are out of that age rang howev it not imposs so just chill and let me know in 
0,say the  ltgt  year old with a man and money im down to my last  ltgt  still wait for that check
0,take care n get well soon
1,phoni  award  today voda number end xxxx are select to receiv a  award if you have a match pleas call  quot claim code  standard rate app
0,you all readi for  big day tomorrow
0, wonder in my world  you  ur style  ur smile  ur person  ur natur  ur sms and  ur love friendship good morn dear
0,tmr then  brin lar aiya later i come n c lar mayb  neva set proper  got da help sheet wif 
0,congratul ore mo owo re wa enjoy it and i wish you mani happi moment to and fro wherev you go
0,i know complain num onlybettr direct go to bsnl offc nd appli for it
0,okay no no just shine on that was meant to be sign but that sound better
0,dont flatter yourself tell that man of mine two pint of carlin in ten minut pleas 
0,aight well head out in a few
0,have you finish work yet 
0,it that time of the week again ryan
0,hmm ok ill stay for like an hour cos my eye is realli sore
1,you have won a guarante  award or even  cashto claim ur award call free on    stop getstop on  php
0,match startedindia  ltgt  for 
0,i will vote for wherev my heart guid me
0,no shit but i wasnt that surpris so i went and spent the even with that french guy i met in town here and we fool around a bit but i didnt let him fuck me
0,whi de you look good onli
0,babe im answer you cant you see me  mayb youd better reboot ym  i got the photo  it great 
0,oh kay on sat right
0,how i noe shes in da car now later then c lar im wear short
1, day to  kickoff u will be kept inform of all the latest news and result daili unsubscrib send get euro stop to 
1, new mobil from  must go txt nokia to no   collect your todayfrom onli    
0,yup ok i go home look at the time then i msg  again xuhui go to learn on  may too but her lesson is at 
0,prepar to be pleasur 
0,thursday night yeah sure thing well work it out then
1,your next amaz xxx  video will be sent to you enjoy if one vid is not enough for  text back the keyword  to get the next video
0,yeah whatev lol
0,thank for your messag i realli appreci your sacrific im not sure of the process of direct pay but will find out on my way back from the test tomorrow im in class now do have a wonder day
0,hey are we go for the lo lesson or gym 
0,no nothi is kalli home groundamla home town is durban
0,fine am simpli sit
0, go to write msg  put on dictionari mode  the screen with hand   ltgt   remov ur hand it interest
0,i sent my score to sopha and i had to do secondari applic for a few school i think if you are think of appli do a research on cost also contact joke ogunrind her school is one me the less expens one
0,twenti past five he said will this train have been to durham alreadi or not coz i am in a reserv seat
0,where u been hide stranger
0,alrit hunnywot u up   didnt end up goin down town jus da pub instead jus chillin at da mo in me bedroomlov jen xxx
0,im in town now so ill jus take mrt down later
1,orang custom you may now claim your free camera phone upgrad for your loyalti call now on    offer end  tcs appli optout availa
0,ahhh work i vagu rememb that what doe it feel like lol
0,sorri ill call later
0,noth i meant that onc the money enter your account here the bank will remov it flat rate someon transfer  ltgt  to my account and  ltgt dollar got remov so the bank differ and charg also differb sure you trust the  person you are send account detail to cos
0,do you alway celebr nys with your famili 
0,cool text me when your park
0,hey gorgeous man my work mobil number is have a good one babe squishi mwah
0,u wake up alreadi wat u do u pick us up later rite im take  reach ard  smth  like dat u can check e arriv time c ya soon
0,pls i wont beliv godnot onli jesus
1,want  get laid tonight want real dog locat sent direct  ur mob join the uk largest dog network by txting moan to   
0,i will come to ur home now
1,i dont know u and u dont know me send chat to  now and let find each other onli  rcvd  ldn  year or over
0,hey there glad u r better now i hear u treat urself to a digi cam is it good we r off at  have a fab new year c u in coupla wks
0,k fyi x has a ride earli tomorrow morn but hes crash at our place tonight
0,cancel cheyyamoand get some money back
0,hey there babe how u doin wot u up   love anni x
0,kalli wont bat in  inning
0,easi ahsen got select mean it good
0,me sef dey laugh you meanwhil how my darl anji
0,just sent it so what type of food do you like
0,of cours i guess god just got me on hold right now
0,watch cartoon listen music amp at eve had to go templ amp church what about u
1,ur tonex subscript has been renew and you have been charg  you can choos  more poli this month  bill msg
0,hello babi did you get back to your mom  are you set up the comput now  fill your belli  how goe it loverboy  i miss you alreadi  sigh
0,ok lor
0,but if shes drinkin im ok
1,as a valu custom i am pleas to advis you that follow recent review of your mob no you are award with a  bonus prize call 
0,well am offici in a philosoph hole so if u wanna call am at home readi to be save
0,yo you gonna still be in stock tomorrowtoday im tri to get a dubsack
1,urgent we are tri to contact u today draw show that you have won a  prize guarante call  from land line claim   onli
0,they are just make it easi to pay back i have  ltgt yrs to say but i can pay back earlier you get
0,can you call me plz your number show out of coveragd area i have urgnt call in vasai amp have to reach befor  clock so call me plz
0,hi this is yiju can i meet u at  tmr
0,you have regist sinco as paye log in at icicibankcom and enter urn  ltgt  to confirm bewar of fraud do not share or disclos urn to anyon
0, comin to fetch us oredi
0,now im go for lunch
1,do you want a new nokia  colour phone deliv tomorrow with  free minut to ani mobil   free text  free camcord repli or call 
0,you intrepid duo you have a great time and see you both soon 
1,you have  new voicemail pleas call 
0,we regret to inform u that the nhs has made a mistakeu were never actual bornpleas report  yor local hospit  terminatedw r sorri  the inconveni
1, flirt now txt girl or bloke  ur name  age eg girl zoe  to  to join and get chat
0,sorri light turn green i meant anoth friend want  ltgt  worth but he may not be around
0,will do was exhaust on train this morn too much wine and pie you sleep well too
0,ok i vldo u know i got adsens approv
0,i am back bit long cos of accid on  had to divert via wadebridgei had a brilliant weekend thank speak soon lot of love
0,havent stuck at orchard in my dad car go  dinner now u leh so r they free tonight
0,we took hooch for a walk toaday and i fell over splat graze my knee and everyth should have stay at home see you tomorrow 
1,hot live fantasi call now  just  per min ntt ltd po box  croydon   
0,k ill head out in a few min see you there
0,ill hand her my phone to chat wit u
1,ur cashbal is current  pound  to maxim ur cashin now send collect to  onli  cc  po box  
0,how i noe did  specifi da domain as nusstu  still in sch
0,good no dont need ani receiptswel done  yes pleas tell  what her number i could ring her
0,sorri im get up now feel realli bad total reject that kinda me thing
0,now onli i reach home   i am veri tire now  i will come tomorro
0,beauti tomorrow never come when it come it alreadi today in the hunt of beauti tomorrow dont wast your wonder today goodmorn
0,sure i am drive but will reach my destin soon
0,long after i quit i get on onli like  minut a day as it is
0,ya that one is slow as poo
0,ranjith cal drpd deeraj and deepak  hold
0,it posibl dnt live in  ltgt centuri cm frwd n thnk differ
0,i aint answerin no phone at what is actual a pretti reason hour but im sleepi
0,wow so healthi old airport rd lor cant thk of anyth els but ill b bath my dog later
0,good afternoon my love  how goe your day  how did you sleep  i hope your well my boytoy  i think of you 
0,how dare you chang my ring
0,erutupalam thandiyachu
0,first has she gain more than  ltgt kg sinc she took in second has she done the blood sugar test if she has and it ok and her blood pressur is within normal limit then no worri
0,good morn plz call me sir
0,wewa is  iriv  all  mb
0,ok give me  minut i think i see her btw your my alibi you were cut my hair the whole time
0,ok
0,especi sinc i talk about boston all up in my person statement lol i woulda chang that if i had realiz it said nyc it say boston now
0,anyway holla at me whenev your around becaus i need an excus to go creep on peopl in sarasota
0,i guess that whi you re worri you must know that there a way the bodi repair itself and im quit sure you shouldnt worri well take it slow first the test they will guid when your ovul is then just relax noth youv said is a reason to worri but ill keep on followin you up
1,guess what somebodi you know secret fanci you wanna find out who it is give us a call on  from landlin   
0,sir i need velusami sir date of birth and compani bank facil detail
1,repli with your name and address and you will receiv by post a week complet free accommod at various global locat  
0,goodmorn today i am late for 
0,y cant u tri new invent to flyim not joke
0,yes i know the cheesi song from frosti the snowman 
0,when i have stuff to sell ill tell you
0,so im do a list of buyer
0,noth smsing u n xy lor sorri lor da guy neva c u in person but they sort of know u lor so u wan  meet them xy ask me  bring u along  our next meet
0,a boy was late  home his father power of frndship
1,our mobil number has won  to claim call us back or ring the claim hot line on 
1,you have an import custom servic announc call freephon    now
0,yeah where your class at
1,warner villag  c colin farrel in swat this wkend warner villag  get  free med popcornjust show msgticketkioskvalid  c tc kiosk repli soni  mre film offer
0,haha better late than ever ani way i could swing by
0,the hair cream has not been ship
1,free game get rayman golf  free from the  game arcad  get ur game set repli post then save   press  key for arcad termsappli
0,yep by the pretti sculptur
0,got it it look scrumptious daddi want to eat you all night long
0,the greatest test of courag on earth is to bear defeat without lose heartgn tc
1,we tri to call you re your repli to our sms for a video mobil  min unlimit text  free camcord repli of call  now
0,i am at a parti with alex nichol
0,did you tri make anoth butt
0,hes just gonna worri for noth and he wont give you money it no use
0,did u find a sitter for kaitlyn i was sick and slept all day yesterday
0,i was slept that timeyou there
1,natalja  is invit you to be her friend repli  or  see her  stop send stop frnd to 
0,hi my email address has chang now it is 
0,my slave i want you to take  or  pictur of yourself today in bright light on your cell phone bright light
0,haha sound crazi dunno can tahan anot
0,hmmm thk sure got time to hop ard ya can go  free abt muz call u to discuss liao 
1,pleas call  immedi as there is an urgent messag wait for you
0,in da car park 
0,infact happi new year how are you where are you when are we see
0,the guy at the car shop who was flirt with me got my phone number from the paperwork and call and text me im nervous becaus of cours now he may have my address should i call his boss and tell him know this may get him fire
0,u wake up alreadi thanx  e tau sar piah it quit nice
0,want to send me a virtual hug i need one
0,sent me ur email id soon
0,im wif him now buy tix lar
0,anyth lar then  not go home  dinner
0,aight will do thank again for comin out
1,urgent your mobil was award a  bonus caller prize on  our final attempt  contact u call 
0,yago for restaur
0,i need detail about that onlin job
1,sms servic for your inclus text credit pls goto  login  unsubscrib with stop no extra charg help   
0,i tot u reach liao he said tshirt
0,then u drive lor
0,dear how is chechi did you talk to her
